id,Address,Response_Address,Response_X,Response_Y
RPROMLOKKHIGFAU56DA,花蓮縣花蓮市國民七街５１號九樓之十八,花蓮縣花蓮市國盛里3鄰國民七街51號,121.60583,23.991358
RPQNMLSJKHIGFAU66DA,花蓮縣花蓮市國民十二街５３號五樓之二,花蓮縣花蓮市國盛里17鄰國民十二街53號,121.60628,23.995823
RPPNMLQKKHIGFAU09DA,花蓮縣花蓮市國聯五路３號五樓之九,花蓮縣花蓮市國聯里20鄰國聯五路3號,121.605902,23.988443
RPUNMLRKKHIGFAU07DA,花蓮縣花蓮市和平路３６２號四樓之一,花蓮縣花蓮市主睦里13鄰和平路362號,121.603492,23.974121
RPQOMLRKKHIGFAU76DA,花蓮縣吉安鄉北昌一街１５巷１１１之３號,花蓮縣吉安鄉吉昌村8鄰北昌一街15巷111之3號,121.592642,23.985012
RPRNMLKLKHIGFAU78DA,花蓮縣吉安鄉吉祥七街５０號,花蓮縣吉安鄉宜昌村23鄰吉祥七街50號,121.58156,23.974755
RPQNMLLLKHIGFAU78DA,花蓮縣花蓮市國聯二路２１之１５號,花蓮縣花蓮市國聯里26鄰國聯二路21之15號,121.604456,23.990943
RPRNMLSKKHIGFAU86DA,花蓮縣花蓮市富裕五街３６號三樓之五,花蓮縣花蓮市國裕里11鄰富裕五街36號,121.597976,23.994479
RPTNMLLLKHIGFAU09DA,花蓮縣花蓮市球崙二路６０號,花蓮縣花蓮市民享里4鄰球崙二路60號,121.622297,24.002153
RPTOMLKLKHIGFAU09DA,花蓮縣花蓮市中央路三段７３０號六樓之二,花蓮縣花蓮市國富里35鄰中央路三段730號,121.590858,23.991491
RPOOMLNLKHIGFAU88DA,花蓮縣花蓮市民德一街７１號二樓之二,花蓮縣花蓮市民德里10鄰民德一街71號,121.622288,23.986211
RPSNMLQKKHIGFAU76DA,花蓮縣花蓮市和平路３２０之１５號五樓,花蓮縣花蓮市主睦里5鄰和平路320之15號,121.60414,23.973343
RPWNMLLJLHIGFAU66DA,花蓮縣吉安鄉東海十一街２１巷８號,花蓮縣吉安鄉東昌村27鄰東海十一街21巷8號,121.59289,23.965019
RPTNMLLJLHIGFAU98DA,花蓮縣吉安鄉太昌路４６８巷９號,花蓮縣吉安鄉太昌村9鄰太昌路468巷9號,121.565872,23.993883
RPOOMLLJLHIGFAU58DA,花蓮縣吉安鄉明義七街９９巷６１號,花蓮縣吉安鄉太昌村22鄰明義七街99巷61號,121.556424,23.989884
RPUNMLSKKHIGFAU17DA,花蓮縣花蓮市國興一街９３號,花蓮縣花蓮市國聯里34鄰國興一街93號,121.603838,23.995524
RPXOMLRJKHIGFAU37DA,花蓮縣花蓮市延平街１８９號五樓,花蓮縣花蓮市國魂里19鄰延平街189號,121.599261,23.985571
RPQNMLMJLHIGFAU78DA,花蓮縣吉安鄉東海三街８號四樓,花蓮縣吉安鄉東昌村8鄰東海三街8號,121.596034,23.966376
RPPNMLLJLHIGFAU58DA,花蓮縣吉安鄉昌隆三街７４號六樓之二,花蓮縣吉安鄉南昌村25鄰昌隆三街74號,121.580382,23.969812
RPPOMLMJLHIGFAU78DA,花蓮縣花蓮市富安路１４７號三樓之十一,花蓮縣花蓮市國裕里19鄰富安路147號,121.600004,23.996302
RPVOMLNJLHIGFAU86DA,花蓮縣花蓮市球崙二路２２１號,花蓮縣花蓮市民享里8鄰球崙二路216號,121.621234,24.005113
RPSNMLMJLHIGFAU98DA,花蓮縣花蓮市公正街３７號五樓之八,花蓮縣花蓮市民生里8鄰公正街37號,121.610068,23.978
RPXOMLMJLHIGFAU96DA,花蓮縣花蓮市國民七街５１號五樓之二十,花蓮縣花蓮市國盛里3鄰國民七街51號,121.60583,23.991358
RPXNMLOLKHIGFAU17DA,花蓮縣吉安鄉舊村四街１２巷８弄１號,花蓮縣吉安鄉福興村15鄰舊村四街12巷8弄1號,121.563596,23.968079
RPSOMLQJKHIGFAU76DA,花蓮縣花蓮市林政街４７號,花蓮縣花蓮市國風里11鄰林政街47號,121.596852,23.979564
RPWNMLRJLHIGFAU27DA,花蓮縣吉安鄉明仁一街１８３巷１６號,花蓮縣吉安鄉永安村31鄰明仁一街183巷16號,121.573807,23.992353
RPQNMLRJLHIGFAU66DA,花蓮縣花蓮市德安四街２號三樓,花蓮縣花蓮市主權里27鄰德安四街2號,121.594877,23.973426
RPPNMLOLKHIGFAU98DA,花蓮縣吉安鄉吉安路六段４０３巷３弄１１號,花蓮縣吉安鄉干城村9鄰吉安路六段403巷3弄11號,121.543167,23.941991
RPPNMLTJLHIGFAU76DA,花蓮縣花蓮市國聯二路７１號五樓之六,花蓮縣花蓮市國聯里16鄰國聯二路71號,121.603375,23.989803
RPRNMLRJLHIGFAU76DA,花蓮縣花蓮市華廈街１６號五樓之二,花蓮縣花蓮市民享里14鄰華廈街16號,121.619817,24.005049
RPRNMLSJLHIGFAU86DA,花蓮縣吉安鄉東里一街３２號五樓之六,花蓮縣吉安鄉仁里村1鄰東里一街32號,121.594058,23.967737
RPOOMLSJLHIGFAU66DA,花蓮縣花蓮市美工路５８號,花蓮縣花蓮市民心里3鄰美工路58號,121.622735,24.0132
RPXNMLRJLHIGFAU37DA,花蓮縣吉安鄉中華路二段１８３號七樓之一,花蓮縣吉安鄉宜昌村20鄰中華路二段183號,121.581406,23.973358
RPOOMLRJLHIGFAU56DA,花蓮縣花蓮市東興二街３５號九樓之二,花蓮縣花蓮市民孝里9鄰東興二街35號,121.629805,24.000105
RPROMLKKJHIGFAU68DA,花蓮縣花蓮市中正路２６４號十一樓之五,花蓮縣花蓮市主學里13鄰中正路264號,121.601091,23.972716
RPROMLOJJHIGFAU98DA,花蓮縣吉安鄉吉興一街３４４巷５號二樓之一,花蓮縣吉安鄉吉安村6鄰吉興一街344巷5號,121.577081,23.973033
RPWQMLMKJHIGFAU96DA,花蓮縣吉安鄉中正路一段１２２之３號,花蓮縣吉安鄉仁里村17鄰中正路一段122號之3,121.591444,23.965966
RPXNMLRKJHIGFAU27DA,花蓮縣花蓮市德安二街６２之１號八樓,花蓮縣花蓮市主權里19鄰德安二街62之1號,121.59258,23.973481
RPXPMLOJJHIGFAU07DA,花蓮縣花蓮市國富二十一街２２號六樓之二,花蓮縣花蓮市國富里42鄰國富二十一街22號,121.595868,23.993634
RPQNMLSKJHIGFAU66DA,花蓮縣吉安鄉吉豐路三段６４１號,花蓮縣吉安鄉永興村11鄰吉豐路三段641號,121.552462,23.94661
RPRNMLKMJHIGFAU78DA,花蓮縣花蓮市中山路４５５巷２２號五樓之一,花蓮縣花蓮市國華里9鄰中山路455巷22號,121.603808,23.982713
RPWNMLPJJHIGFAU86DA,花蓮縣花蓮市重慶路２２３巷６號,花蓮縣花蓮市主和里21鄰重慶路223巷6號,121.604383,23.969828
RPTOMLLJKHIGFAU98DA,花蓮縣花蓮市中原路５３３巷３２之２號,花蓮縣花蓮市主權里12鄰中原路533巷32之2號,121.595412,23.972128
RPPNMLMJKHIGFAU58DA,花蓮縣花蓮市中美路２７５之２３號,花蓮縣花蓮市民孝里1鄰中美路275之23號,121.630469,23.99809
RPRNMLMJKHIGFAU78DA,花蓮縣吉安鄉東海十街１５６巷２１之２號一樓之二,花蓮縣吉安鄉東昌村42鄰東海十街156巷21之2號,121.596787,23.961175
RPSNMLMJKHIGFAU88DA,花蓮縣花蓮市林森路５３巷２６號,花蓮縣花蓮市主力里15鄰林森路53巷26號,121.596446,23.976036
RPOOMLKKJHIGFAU38DA,花蓮縣花蓮市延平街１４８巷３弄８號四樓之五,花蓮縣花蓮市國魂里18鄰延平街148巷3弄8號,121.598575,23.986145
RPTNMLRKJHIGFAU86DA,花蓮縣花蓮市國盛一街７６號五樓之六,花蓮縣花蓮市國盛里14鄰國盛一街76號,121.606299,23.99106
RPRNMLTKJHIGFAU86DA,花蓮縣吉安鄉東里一街３２號二樓之二,花蓮縣吉安鄉仁里村1鄰東里一街32號,121.594058,23.967737
RPRNMLMKJHIGFAU78DA,花蓮縣吉安鄉慶北一街２６０之２號,花蓮縣吉安鄉慶豐村39鄰慶北一街260之2號,121.563385,23.982776
RPOOMLOJKHIGFAU78DA,花蓮縣花蓮市中興路１７８之４號,花蓮縣花蓮市民政里15鄰中興路178之4號,121.625283,23.996407
RPPPMLOJKHIGFAU98DA,花蓮縣花蓮市中美路２６２號五樓,花蓮縣花蓮市民運里1鄰中美路262號,121.629547,23.995384
RPVNMLOJKHIGFAU76DA,花蓮縣花蓮市中央路三段７３０號四樓之七,花蓮縣花蓮市國富里35鄰中央路三段730號,121.590858,23.991491
RPWNMLOJKHIGFAU86DA,花蓮縣花蓮市國盛六街４５號五樓之二,花蓮縣花蓮市國盛里27鄰國盛六街45號,121.6086,23.994408
RPXNMLKMJHIGFAU76DA,花蓮縣花蓮市國盛二街２１３號八樓之九,花蓮縣花蓮市國盛里11鄰國盛二街213號,121.606033,23.99434
RPUNMLSJKHIGFAU07DA,花蓮縣花蓮市軒轅路２號六樓之十二,花蓮縣花蓮市民族里11鄰軒轅路2號,121.61175,23.97456
RPQOMLSJKHIGFAU76DA,花蓮縣花蓮市國富二十一街２２號五樓之三,花蓮縣花蓮市國富里42鄰國富二十一街22號,121.595868,23.993634
RPROMLQJKHIGFAU66DA,花蓮縣花蓮市國民一街２０號四樓之一,花蓮縣花蓮市國聯里2鄰國民一街20號,121.601198,23.988567
RPXNMLSJKHIGFAU47EA,花蓮縣花蓮市中福路９３號,花蓮縣花蓮市主和里26鄰中福路93號,121.602543,23.971243
RPRNMLKKKHIGFAU68DA,花蓮縣花蓮市中美十一街５９號,花蓮縣花蓮市民政里36鄰中美十一街59號,121.624042,23.99677
RPSOMLSJKHIGFAU96DA,花蓮縣花蓮市球崙一路２２５號七樓,花蓮縣花蓮市民享里6鄰球崙一路225號,121.622919,24.003874
